tmid,SCIENTIFIC_NAME,TPA
878,Pinus taeda,242.94997800000002
886,Pinus taeda,261.524706
1585,Acer negundo,299.86112
328,Carya glabra,317.915258
287,Cornus florida,161.966652
543,Ostrya virginiana,149.93056
531,Carya alba,74.96528
730,Liquidambar styraciflua,605.7402860000001
716,Pinus palustris,135.14574
334,Liquidambar styraciflua,374.82640000000004
883,Liquidambar styraciflua,515.9901860000002
1587,Pinus taeda,1799.1667199999993
1586,Liquidambar styraciflua,180.02079
540,Cornus florida,317.915258
541,Carya alba,117.091602
1945,Oxydendrum arboreum,524.75696
1933,Liquidambar styraciflua,485.8999560000001
868,Pinus taeda,504.9952740000004
341,Ulmus alata,224.89584000000002
566,Oxydendrum arboreum,261.004116
562,Oxydendrum arboreum,629.8124700000001
288,Oxydendrum arboreum,93.019418
570,Cornus florida,449.79168000000004
1350,Pinus taeda,428.98881400000005
224,Tilia americana,167.984698
217,Pinus taeda,441.024906
1689,Pinus taeda,558.1165080000003
584,Quercus nigra,524.75696
1726,Cornus florida,161.966652
318,Pinus taeda,323.933304
289,Liquidambar styraciflua,174.002744
1940,Pinus taeda,210.63160999999997
1334,Pinus taeda,90.27068999999999
585,Acer rubrum,674.6875200000001
1007,Pinus palustris,390.6524000000003
1017,Liquidambar styraciflua,848.6902640000002
565,Acer rubrum,155.948606
567,Quercus prinus,378.09571800000003
1326,Pinus taeda,681.2261560000004
221,Pinus taeda,432.2581320000001
130,Pinus taeda,492.4385920000002
223,Liquidambar styraciflua,273.040208
1713,Pinus palustris,168.50528799999998
1098,Pinus palustris,663.6926080000005
314,Liquidambar styraciflua,242.94997800000002
319,Pinus taeda,102.30678199999998
1740,Pinus taeda,255.50665999999998
131,Diospyros virginiana,380.84444600000006
119,Pinus taeda,240.72183999999996
795,Liquidambar styraciflua,230.91388600000002
1270,Cercis canadensis,449.79168000000004
1277,Pinus echinata,501.20536600000014
1279,Pinus taeda,555.3677800000005
137,Pinus taeda,330.9925300000003
124,Quercus laurifolia,722.8318880000002
1078,Carpinus caroliniana,398.898584
1087,Pinus taeda,234.70379399999996
1093,Pinus taeda,397.19103600000057
798,Magnolia virginiana,192.056882
613,Liquidambar styraciflua,761.6888920000001
1001,Carya alba,299.86112
1432,Pinus taeda,357.81344200000007
1439,Quercus falcata,605.7402860000001
1674,Pinus taeda,318.9564380000002
1235,Cornus florida,230.91388600000002
1867,Celtis laevigata,299.86112
1871,Pinus taeda,599.72224
425,Oxydendrum arboreum,161.966652
975,Pinus taeda,1149.0719740000004
1223,Ilex opaca,449.79168000000004
1221,Liquidambar styraciflua,360.04158000000007
1659,Acer rubrum,524.75696
1673,Carpinus caroliniana,461.82777200000004
1680,Liquidambar styraciflua,242.94997800000002
1236,Ostrya virginiana,224.89584000000002
1438,Pinus taeda,303.65102800000017
1436,Liriodendron tulipifera,680.7055660000001
1437,Liquidambar styraciflua,680.7055660000001
429,Quercus nigra,149.93056
1870,Liriodendron tulipifera,242.94997800000002
1869,Pinus taeda,691.0341100000012
1435,Oxydendrum arboreum,305.87916600000005
2031,Acer rubrum,374.82640000000004
1991,Magnolia virginiana,236.93193200000002
1982,Pinus taeda,2171.2443919999987
1992,Quercus nigra,236.93193200000002
1997,Carpinus caroliniana,216.129066
1258,Ulmus alata,80.983326
1262,Ostrya virginiana,674.6875200000001
1264,Ostrya virginiana,305.87916600000005
498,Pinus taeda,135.14574
491,Quercus texana,80.983326
427,Pinus taeda,747.9452520000012
2076,Pinus elliottii,261.524706
1495,Magnolia virginiana,228.165158
1037,Liquidambar styraciflua,93.019418
1394,Pinus taeda,1181.9109320000002
1408,Fraxinus pennsylvanica,899.5833600000001
1406,Pinus taeda,516.5107760000002
428,Liquidambar styraciflua,548.829144
